rank,name,domain
199,Sara Lee,saralee.com
200,National Oilwell Varco,nov.com
201,Waste Management,wm.com
202,Omnicom Group,omnicomgroup.com
203,Chubb,chubb.com
204,Duke Energy,duke-energy.com
205,Entergy,entergy.com
206,State Street Corp.,statestreet.com
207,United Services Automobile Association,usaa.com
208,Marriott International,marriott.com
209,Progressive,progressive.com
210,Kellogg,kelloggs.com
211,SunTrust Banks,suntrust.com
212,Jabil Circuit,jabil.com
213,Danaher,danaher.com
214,Reliant Energy,reliant.com
215,Texas Instruments,ti.com
216,Dean Foods,deanfoods.com
217,Apache,apache.org
218,Williams,williams.edu
219,Baxter International,baxter.com
220,Freddie Mac,freddiemac.com
221,Parker Hannifin,parker.com
222,US Airways Group,usairways.com
223,Knight,en.wikipedia.org
224,Land O'Lakes,landolakes.com
225,Penske Automotive Group,penskeautomotive.com
226,Coventry Health Care,jobs.coventryhealthcare.com
227,Baker Hughes,bakerhughes.com
228,Circuit City Stores,circuitcity.com
229,ITT,itt.com
230,Chesapeake Energy,chk.com
231,DISH Network,dish.com
232,Marsh & McLennan,mmc.com
233,R.R. Donnelley & Sons,rrdonnelley.com
234,KBR,kbr.com
235,Monsanto,monsanto.com
236,Weyerhaeuser,weyerhaeuser.com
237,Energy Future Holdings,energyfutureholdings.com
238,CenterPoint Energy,centerpointenergy.com
239,Yum Brands,yum.com
240,CSX,csx.com
241,Jacobs Engineering Group,jacobs.com
242,Xcel Energy,xcelenergy.com
243,Community Health Systems,chs.net
244,Qualcomm,qualcomm.com
245,American International Group,aig.com
246,Southwest Airlines,southwest.com
247,Genuine Parts,genpt.com
248,Air Products & Chemicals,airproducts.com
249,Praxair,praxair.com
250,Smith International,en.wikipedia.org
251,Commercial Metals,cmc.com
252,Sempra Energy,sempra.com
253,Western Refining,wnr.com
254,Pepco Holdings,pepcoholdings.com
255,Avon Products,avon.com
256,Norfolk Southern,nscorp.com
257,Liberty Global,lgi.com
258,Thermo Fisher Scientific,thermofisher.com
259,Dollar General,dollargeneral.com
260,BB&T Corp.,bbt.com
261,Starbucks,starbucks.com
262,Huntsman,huntsman.com
263,Harrah's Entertainment,totalrewards.com
264,URS,urscorp.com
265,Liberty Media,libertymedia.com
266,SAIC,saic.com
267,H.J. Heinz,heinz.com
268,Enbridge Energy Partners,enbridgepartners.com
269,BJ's Wholesale Club,bjs.com
270,Unum Group,unum.com
271,Genworth Financial,genworth.com
272,Calpine,calpine.com
273,Principal Financial,principal.com
274,Lincoln National,lfg.com
275,Terex,terex.com
276,Mosaic,en.wikipedia.org
277,Masco,masco.com
278,PNC Financial Services Group,pnc.com
279,Guardian Life Ins. Co. of America,guardianlife.com
280,Regions Financial,regions.com
281,Rohm & Haas,rohmhaas.com
282,Visteon,visteon.com
283,Tenet Healthcare,tenethealth.com
284,Eastman Kodak,kodak.com
285,DTE Energy,dteenergy.com
286,Energy Transfer Equity,energytransfer.com
287,Hartford Financial Services,thehartford.com
288,Progress Energy,progress-energy.com
289,NiSource,nisource.com
290,Limited Brands,limitedbrands.com
291,Global Partners,globalp.com
292,Sanmina-SCI,sanmina-sci.com
293,YRC Worldwide,yrcw.com
294,Reynolds American,reynoldsamerican.com
295,First Data,firstdata.com
296,GameStop,gamestop.com
297,Automatic Data Processing,adp.com
298,Reliance Steel & Aluminum,rsac.com
299,Assurant,assurant.com
300,C.H. Robinson Worldwide,chrobinson.com
301,Nordstrom,shop.nordstrom.com
302,Fifth Third Bancorp,53.com
303,eBay,ebay.com
304,Pilgrim's Pride,pilgrims.com
305,Hertz Global Holdings,hertz.com
306,AGCO,agcocorp.com
307,Aon,aon.com
308,Centex,centex.com
309,Campbell Soup,campbellsoup.com
310,Ashland,ashland.com
311,CarMax,carmax.com
312,Crown Holdings,crowncork.com
313,OfficeMax,officemax.com
314,PPL,pplelectric.com
315,Applied Materials,appliedmaterials.com
316,Dana Holding,dana.com
317,Pantry,en.wikipedia.org
318,Steel Dynamics,en.wikipedia.org
319,Western Digital,wdc.com
320,Boston Scientific,bostonscientific.com
321,Peter Kiewit Sons',kiewit.com
322,Sherwin-Williams,sherwin-williams.com
323,Targa Resources,targaresources.com
324,Whole Foods Market,wholefoodsmarket.com
325,Est?e Lauder,esteelauder.com
326,Owens-Illinois,o-i.com
327,Ameren,ameren.com
328,Synnex,synnex.com
329,Dole Food,dole.com
330,XTO Energy,xtoenergy.com
331,SLM,finance.yahoo.com
332,TravelCenters of America,tatravelcenters.com
333,Dover,doverpublications.com
334,AK Steel Holding,aksteel.com
335,VF,vfc.com
336,Ball,freshpreserving.com
337,Sonic Automotive,sonicautomotive.com
338,Virgin Media,virginmedia.com
339,Owens & Minor,owens-minor.com
340,Winn-Dixie Stores,winndixie.com
341,Quest Diagnostics,questdiagnostics.com
342,Cablevision Systems,cablevision.com
343,Atmos Energy,atmosenergy.com
344,MGM Mirage,mgmresorts.com
345,Yahoo,yahoo.com
346,ArvinMeritor,meritor.com
347,Becton Dickinson,bd.com
348,Ameriprise Financial,ameriprise.com
349,Oshkosh,carters.com
350,EOG Resources,eogresources.com
351,Fortune Brands,fortunebrands.com
352,Discover Financial Services,discoverfinancial.com
353,Peabody Energy,peabodyenergy.com
354,Goodrich,goodrich.com
355,Bed Bath & Beyond,bedbathandbeyond.com
356,Smurfit-Stone Container,en.wikipedia.org
357,Shaw Group,shawgrp.com
358,Dillard's,dillards.com
359,Family Dollar Stores,familydollar.com
360,Great Atlantic & Pacific Tea,aptea.com
361,Interpublic Group,interpublic.com
362,Precision Castparts,precast.com
363,NRG Energy,nrgenergy.com
364,Eastman Chemical,eastman.com
365,MeadWestvaco,meadwestvaco.com
366,W.W. Grainger,grainger.com
367,Mohawk Industries,mohawkind.com
368,Celanese,celanese.com
369,CMS Energy,cmsenergy.com
370,Emcor Group,emcorgroup.com
371,Gannett,gannett.com
372,CC Media Holdings,ccmediaholdings.com
373,Hormel Foods,hormelfoods.com
374,Darden Restaurants,darden.com
375,Stryker,stryker.com
376,Avery Dennison,averydennison.com
377,UGI,ugi.com
378,D.R. Horton,drhorton.com
379,AbitibiBowater,bowater.ca
380,AutoZone,autozone.com
381,WellCare Health Plans,wellcare.com
382,KeyCorp,key.com
383,Frontier Oil,hollyfrontier.com
384,Ross Stores,rossstores.com
385,Charter Communications,charter.com
386,Autoliv,autoliv.com
387,Newell Rubbermaid,newellrubbermaid.com
388,American Family Insurance Group,amfam.com
389,Henry Schein,henryschein.com
390,Domtar,domtar.com
391,McGraw-Hill,mcgraw-hill.com
392,Omnicare,omnicare.com
393,Pulte Homes,pulte.com
394,Visa,usa.visa.com
395,Pitney Bowes,pb.com
396,General Cable,generalcable.com
397,CIT Group,cit.com
398,First American Corp.,firstam.com
399,Ryder System,ryder.com
400,Newmont Mining,newmont.com
401,Affiliated Computer Services,acs-inc.com
402,SPX,spx.com
403,Ecolab,ecolab.com
404,Anixter International,anixter.com
405,Embarq,embarq.org
406,Wesco International,wesco.com
407,Hexion Specialty Chemicals,momentive.com
408,Black & Decker,blackanddecker.com
409,Thrivent Financial for Lutherans,thrivent.com
410,Franklin Resources,franklinresources.com
411,Avis Budget Group,avisbudgetgroup.com
412,Harley-Davidson,harley-davidson.com
413,Aleris International,aleris.com
414,Corning,corning.com
415,Mattel,mattel.com
416,Tenneco,tenneco.com
417,Starwood Hotels & Resorts,starwoodhotels.com
418,Advanced Micro Devices,amd.com
419,Symantec,symantec.com
420,Holly,en.wikipedia.org
421,Cameron International,c-a-m.com
422,Owens Corning,owenscorning.com
423,Micron Technology,micron.com
424,Northeast Utilities,nu.com
425,Agilent Technologies,agilent.com
426,ProLogis,prologis.com
427,Dr Pepper Snapple Group,drpeppersnapplegroup.com
428,Group 1 Automotive,group1auto.com
429,Rockwell Automation,rockwellautomation.com
430,Northern Trust Corp.,northerntrust.com
431,Timken,timken.com
432,Perini,tutorperini.com
433,DaVita,davita.com
434,Expeditors International of Washington,expeditors.com
435,SunGard Data Systems,sungard.com
436,CH2M Hill,ch2m.com
437,Kelly Services,kellyservices.com
438,BJ Services,bakerhughes.com
439,Graybar Electric,graybar.com
440,Charles Schwab,schwab.com
441,Western & Southern Financial Group,westernsouthern.com
442,Jarden,jarden.com
443,El Paso,elpasotexas.gov
444,Gilead Sciences,gilead.com
445,Scana,scana.com
446,NCR,ncr.com
447,Harris,harris.com
448,Allegheny Technologies,atimetals.com
449,Host Hotels & Resorts,hosthotels.com
450,Blockbuster,blockbuster.com
451,Western Union,westernunion.com
452,Clorox,clorox.com
453,BorgWarner,borgwarner.com
454,Foot Locker,footlocker.com
455,Barnes & Noble,barnesandnoble.com
456,Unisys,unisys.com
457,Freescale Semiconductor,freescale.com
458,AECOM Technology,aecom.com
459,Spectra Energy,spectraenergy.com
460,FMC Technologies,fmctechnologies.com
461,Advance Auto Parts,shop.advanceautoparts.com
462,Mylan,mylan.com
463,Hershey,hersheys.com
464,CB Richard Ellis Group,cbre.com
465,Telephone & Data Systems,teldta.com
466,Icahn Enterprises,ielp.com
467,Universal Health Services,uhsinc.com
468,PetSmart,petsmart.com
469,BlackRock,blackrock.com
470,Con-way,con-way.com
471,Lubrizol,lubrizol.com
472,CVR Energy,gwec.com
473,MDU Resources Group,mdu.com
474,MasterCard,mastercard.com
475,United Stationers,unitedstationers.com
476,Auto-Owners Insurance,auto-owners.com
477,NYSE Euronext,nyse.com
478,PepsiAmericas,en.wikipedia.org
479,Crosstex Energy,crosstexenergy.com
480,Manitowoc,manitowoc.com
481,Polo Ralph Lauren,ralphlauren.com
482,Fiserv,fiserv.com
483,Sealed Air,sealedair.com
484,Insight Enterprises,insight.com
485,NuStar Energy,nustarenergy.com
486,Asbury Automotive Group,asburyauto.com
487,Molson Coors Brewing,molsoncoorscanada.com
488,Rockwell Collins,rockwellcollins.com
489,Realogy,realogy.com
490,W.R. Berkley,wrberkley.com
491,Brunswick,brunswickbowling.com
